time,node_time,node_seq,boot_id,effective_time,clock_source,mac,esp_id,batch_id,experiment_id,trial_type,trial_position,raw_room,raw_rssi,ground_truth_room,ground_truth_scenario,baseline_room,baseline_changed,median_room,median_changed,median_hysteresis_room,median_hysteresis_changed,median_hysteresis_rejected,median_hysteresis_persistence_room,median_hysteresis_persistence_changed,baseline_agrees_with_final,median_agrees_with_final,median_hysteresis_agrees_with_final
2026-08-26 09:17:59,2026-08-26 09:17:58,57,1888488593,2026-08-26 09:17:59,server,c3:00:00:13:3b:b7,ESP-02,6bda7f8b-96c1-4dd0-b921-c8dc04ee2c50,DIN2–BA-R1,,,Sala A,-68,Sala A,movimento,Sala A,True,Sala A,False,Sala B,False,True,Sala B,False,False,False,True
2026-08-26 09:18:01,2026-08-26 09:17:57,33,2605610151,2026-08-26 09:18:01,server,c3:00:00:13:3b:b7,ESP-01,77091308-f65e-4a93-a9c3-036c4f4deec8,DIN2–BA-R1,,,Corredor,-82,Sala A,movimento,Corredor,True,Sala A,False,Sala B,False,True,Sala B,False,False,False,True
2026-08-26 09:17:14,2026-08-26 09:17:14,36,1366431522,2026-08-26 09:17:14,server,c3:00:00:13:3b:f2,ESP-03,15ed375a-cfe7-4297-93ce-55719ffabaad,DIN2–BA-R1,,,Sala B,-89,,,Sala B,True,Sala B,True,Sala B,True,False,,False,False,False,False
2026-08-26 09:17:15,2026-08-26 09:17:15,51,1888488593,2026-08-26 09:17:15,server,c3:00:00:13:3b:f2,ESP-02,e2b796b6-0dd5-4d22-bdf7-706ec86052e4,DIN2–BA-R1,,,Sala A,-77,,,Sala A,True,Sala A,True,Sala A,True,False,,False,False,False,False
2026-08-26 09:17:20,2026-08-26 09:17:17,28,2605610151,2026-08-26 09:17:20,server,c3:00:00:13:3b:f2,ESP-01,5a34bf2f-5e23-4c7e-9147-65d9128a792b,DIN2–BA-R1,,,Corredor,-74,,,Corredor,True,Corredor,True,Sala A,False,True,,False,False,False,False
2026-08-26 09:17:24,2026-08-26 09:17:20,37,1366431522,2026-08-26 09:17:24,server,c3:00:00:13:3b:f2,ESP-03,d9804f5a-316c-4bc2-9147-6293f759c34c,DIN2–BA-R1,,,Sala B,-79,,,Sala B,True,Corredor,False,Sala A,False,True,Sala A,True,False,False,True
2026-08-26 09:17:24,2026-08-26 09:17:21,52,1888488593,2026-08-26 09:17:24,server,c3:00:00:13:3b:f2,ESP-02,09774147-e134-4869-9bfd-87bab639dd5f,DIN2–BA-R1,,,Sala A,-76,,,Sala A,True,Corredor,False,Sala A,False,True,Sala A,False,True,False,True
2026-08-26 09:17:30,2026-08-26 09:17:26,29,2605610151,2026-08-26 09:17:30,server,c3:00:00:13:3b:f2,ESP-01,a8bcc77d-f17a-42d9-9ba6-f9850fa79544,DIN2–BA-R1,,,Corredor,-74,,,Corredor,True,Corredor,False,Sala A,False,True,Sala A,False,False,False,True
2026-08-26 09:17:30,2026-08-26 09:17:30,38,1366431522,2026-08-26 09:17:30,server,c3:00:00:13:3b:f2,ESP-03,f6e65211-cc5d-445b-b796-4b0d3eada4c6,DIN2–BA-R1,,,Sala B,-88,,,Sala B,True,Corredor,False,Sala A,False,True,Sala A,False,False,False,True
2026-08-26 09:17:32,2026-08-26 09:17:32,53,1888488593,2026-08-26 09:17:32,server,c3:00:00:13:3b:f2,ESP-02,6b9cc916-7e8c-4237-949b-fa6ad1ea6b7e,DIN2–BA-R1,,,Sala A,-77,,,Sala A,True,Corredor,False,Sala A,False,True,Sala A,False,True,False,True
